t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t
t	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	t
t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t
t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t
