w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4	w4
t	0	0	w4	w4	0	0	0	4		0	t	0	w4	w4	0	0	0	0	0	w4
t	0	0	w4	w4	0	0	0			0	0	0	w4	w4	0	0	0	0	0	w4
t	0	0	b0	b0	0	0	0	0	0	0	0	0	w4	w4	0	0	r	0	0	w4
t	0	0	b0	b0	0	0	0	0	0	0	0	0	b0	b0	0	0	0	0	0	t
t	r	0	w4	w4	0	0	0	0	0	0	0	0	b0	b0	0	0	0	0	0	t
t	0	0	w4	w4	0	0	0	0	0	0	0	0	w4	w4	0	0	0	0	0	t
t	0	0	w4	w4	w4	w4	w4	b0	b0	w4	w4	w4	w4	w4	0	0	0	0	0	t
t	0	0	w4	w4	w4	w4	w4	b0	b0	w4	w4	w4	w4	w4	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	t
t	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	t
t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t
t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t	t
